Month,Day,Title,Director,Cast,Studio (production house),imdb rating,genre,length
AUG,14,Khuda Haafiz,Faruk Kabir,Vidyut JammwalShivaleeka OberoiAnnu KapoorShiv PandittAahana Kumra,"Panorama Studios, Disney+ Hotstar",7.1,"action, drama, thriller",2.13
AUG,21,Mee Raqsam,Baba Azmi,Naseeruddin ShahDanish HusainAditi SubediShradha KaulRakesh Chaturvedi,"AZMI Pictures, ZEE5",6.7,drama,1.2
AUG,21,Class of '83,Atul Sabharwal,Bobby DeolBhupendra JadawatHitesh BhojrajAnup SoniJoy SenguptaSameer ParanjapeNinad MahajaniPrithvik Pratap,"Red Chillies Entertainment, Netflix",5.8,"action, crime,drama",1.38
AUG,28,Sadak 2,Mahesh Bhatt,Sanjay DuttPooja BhattAlia BhattAditya Roy Kapur,"Vishesh Films, Fox Star Studios, Disney+ Hotstar",1.1,"action, drama",2.13
AUG,28,Ram Singh Charlie,Nitin Kakkar,Kumud MishraDivya DuttaAkarsh KhuranaFarrukh SeyerSalima RazaRohit Rokhade,"Little Too Much Productions, Sony Liv",7.9,drama,1.44
SEP,5,Atkan Chatkan,Shiv Hare,Sachin ChaudharyYash RaneTamanna Dipak,"Lokaa Entertainment, ZEE5",7.9,"drama, musical",2.06
SEP,9,Cargo,Arati Kadav,Vikrant MasseyShweta Tripathi,"Fundamental Pictures, Electric Films, Netflix",5.7,"drama, fantasy, scifi",1.59
SEP,18,Dolly Kitty Aur Woh Chamakte Sitare,Alankrita Shrivastava,Konkona Sen SharmaBhumi PednekarAmol ParasharAamir BashirKubbra SaitKaran KundraVikrant MasseyMushtaq Khan,"Balaji Motion Pictures, ALT Entertainment, Netflix",5.4,drama,2.06
SEP,18,London Confidential,Kanwal Sethi,Mouni RoyPurab KohliKulraj RandhawaSagar AryaParvesh RanaJas BinagDiljohn SinghKiren Jog,"JAR Pictures, ZEE5",6.2,"crime, drama, thriller",1.17
SEP,21,Halahal,Randeep Jha,Sachin KhedekarBarun Sobti,"Eros International, Eros Now",7.1,"crime, drama, mystery",1.37
OCT,2,Khaali Peeli,Maqbool Khan,Ishaan KhatterAnanya PandayJaideep Ahlawat,"Zee Studios, Offside Entertainment, Zee Plex, ZEE5",2.4,"action, comedy, romance",1.59
OCT,2,Serious Men,Sudhir Mishra,Nawazuddin SiddiquiAakshath DasShweta Basu PrasadNassarIndira Tiwari,"Bombay Fables, Cineraas Entertainment, Netflix",6.8,"comedy, drama",1.54
OCT,2,Bahut Hua Samman,Ashish R Shukla,Raghav JuyalAbhishek ChauhanSanjay MishraRam KapoorNidhi SinghNamit DasFlora Saini,"Yoodlee films, Disney+ Hotstar",7.2,"comedy, crime, drama",2.05
OCT,9,Ginny Weds Sunny,Puneet Khanna,Yami GautamVikrant Massey,"Soundrya Production, Netflix",5.6,"comedy, romance",2.05
OCT,16,The Pickup Artist,Rohit Arora,Dev ChauhanPankaj Uniyal,Roar Picture Company,8.8,"crime, mystery, thriller",1.51
OCT,21,Comedy Couple,Nachiket Samant,Saqib SaleemShweta Basu Prasad,"Yoodlee films, ZEE5",7.5,"comedy, romance",1.57
OCT,23,Kasaai,Gajendra Shrotriya,Mita VasishtMayur MoreAmit Bimrot,ShemarooMe,6.5,drama,1.36
OCT,29,Taish,Bejoy Nambiar,Pulkit SamratKriti KharbandaJim SarbhHarshvardhan RaneZoa MoraniSanjeeda SheikhAbhimanyu SinghAnkur Rathee,"Ease My Trip, Getaway Pictures Presentation, A Crayon Films Production, ZEE5",7.4,"action, thriller",2.59
OCT,30,Kaali Khuhi,Terrie Samundra,Shabana AzmiSatyadeep MishraRiva AroraSanjeeda Sheikh,"Manomay Motion Pictures, Netflix",3.4,"Drama, horror, mystery",1.3
NOV,6,Pepper Chicken,Ratan Sil Ram,Dipannita SharmaBoloram DasBaharul IslamRavi SarmaMonuj Borkotoky,"RKZ Films, North-East Film Studio, ShemarooMe",6,thriller,1.32
NOV,9,Laxmii,Raghava Lawrence,Akshay KumarKiara Advani,"Cape of Good Films, Fox Star Studios, Shabinaa Entertainment, Tushar Entertainment House, Disney+ Hotstar",2.3,"action, comedy, horror",2.21
NOV,12,Ludo,Anurag Basu,Abhishek BachchanRajkummar RaoAditya Roy KapurFatima Sana ShaikhSanya MalhotraPankaj TripathiRohit Suresh SarafPearle MaaneyAsha NegiInayat VermaShalini Vats,"T-Series, Anurag Basu Productions, Netflix",7.6,"action, comedy, crime",2.29
